Rk,Squad,MP,W,L,GF,GA,GD,Pts,Pts/MP,Last 5,Top_Team_Scorer_Name,Top_Team_Scorer_Num_Goals
1,Arsenal,14,10,1,29,11,18,33,2.36,W L W W W,"Eddie Nketiah, Bukayo Saka ",5
2,Liverpool,14,9,1,32,14,18,31,2.21,W D W D W,Mohamed Salah ,10
3,Manchester City,14,9,2,36,16,20,30,2.14,W W D D D,Erling Haaland ,14
4,Aston Villa,14,9,3,33,20,13,29,2.07,W L W W D,Ollie Watkins ,8
5,Tottenham,14,8,3,28,20,8,27,1.93,W L L L D,Son Heungmin ,9
6,Newcastle Utd,14,8,4,32,14,18,26,1.86,D W L W W,"Callum Wilson, Alexander Isak ",7
7,Manchester Utd,14,8,6,16,17,-1,24,1.71,L W W W L,"Bruno Fernandes, Scott McTominay ",3
8,Brighton,14,6,4,30,26,4,22,1.57,D D D W L,Evan Ferguson ,6
9,West Ham,14,6,5,24,24,0,21,1.5,L L W W D,Jarrod Bowen ,8
10,Chelsea,14,5,5,25,22,3,19,1.36,L W D L W,Nicolas Jackson ,6
11,Brentford,14,5,5,22,19,3,19,1.36,W W L L W,Bryan Mbeumo ,6
12,Crystal Palace,14,4,6,14,19,-5,16,1.14,L W L L D,Odsonne Édouard ,6
13,Wolves,14,4,7,19,25,-6,15,1.07,D L W L L,Hwang Heechan ,7
14,Fulham,14,4,7,16,26,-10,15,1.07,D L L W L,"Willian, Bobby Reid ",3
15,Nott'ham Forest,14,3,7,16,22,-6,13,0.93,L W L L L,Taiwo Awoniyi ,4
16,Bournemouth,14,3,7,16,30,-14,13,0.93,W L W W D,Dominic Solanke ,7
17,Luton Town,14,2,9,13,26,-13,9,0.64,L D L W L,Carlton Morris ,3
18,Everton,14,5,7,15,20,-5,7,0.5,W D W L W,Abdoulaye Doucouré ,4
19,Burnley,14,2,11,15,32,-17,7,0.5,L L L L W,"Josh Brownhill, Lyle Foster ",3
20,Sheffield Utd,14,1,11,11,39,-28,5,0.36,L W D L L,"Oliver McBurnie, Gustavo Hamer... ",2
